"First Name/Last Name,""How familiar are you with Cloud providers tools?"",""How familiar are you with the AWS Auto Scale/AWS CLI?"",""How familiar are you with the IBM softlayer Auto Scale?"",""How many States you need to describe the provided case study?"",""How many Transitions needed between the states?"",""What are the types of events you need to describe in the case study?"",""How many VM instances needed to handle the application workload  during the high peak phase?"",""How many transitions led to the final state?"",""How intuitive do you think the Cloud Resource concept"",""How intuitive do you think the Resource Requirements concept?"",""How intuitive do you think the  Constraint concept?"",""How intuitive do you think the State concept"",""How intuitive do you think the Events concept (e.g Temporal events, Resource usage events, QoS events, Market related events, User action events?"",""How intuitive do you think the  Reconfiguration Action concept?"",""Do you think the cEDM Core tool is useful for your day-to-day tasks?"",""What the points you don't like in the cEDM Core tool?"",""How would you improve the cEDM Core tool?"""
"****,""3"",""5"",""3"",""4"",""7"",""Q-Event, TP-Event, TS-event"",""14"",""3"",""4"",""5"",""4"",""3"",""5"",""5"",""5"",""5"","""",""some guidlines would be very helpful"""
"****,""3"",""5"",""3"",""4"",""7"",""Q-Event, TP-Event, TS-Event"",""14"",""3"",""5"",""5"",""4"",""5"",""5"",""3"",""5"",""5"","""",""add recommendation options """
"*****,""3"",""5"",""3"",""4"",""7"",""Q-Event, TP-Event, TS-Event"",""14"",""3"",""4"",""5"",""4"",""3"",""5"",""3"",""5"",""4"","""",""I find very good and very very simple"""
"*****,""2"",""5"",""2"",""4"",""7"",""Temporal Events, QoS events"",""14"",""3"",""4"",""5"",""4"",""3"",""5"",""3"",""5"",""5"","""",""the provided state machine to implement elasticity policies are very simple and not far from natural languag"""
"****,""1"",""1"",""1"",""4"",""7"",""Temporal Event, QoS Event"",""14"",""3"",""4"",""5"",""5"",""4"",""5"",""4"",""5"",""5"",""instead of defining use resource and type to define a particular resource , use visualisation icons, i.e. container, VM icons, etc. "",""provide web-version """
"*****,""4"",""5"",""2"",""4"",""7"",""QoS Events (Q-event), Temporal Events (TS-event, TP-event)"",""14"",""3"",""5"",""5"",""4"",""4"",""5"",""4"",""4"",""4"",""Why we need to specify tools like Docker and terraform?it would be better that such task is done automatically"","""""
"*****,""1"",""4"",""1"",""4"",""7"",""resource related events, temporal event"",""14"",""3"",""4"",""5"","""",""4"",""4"",""4"",""4"",""5"","""",""nice tool, especially editor for the state machine is quite easy to use and understand"""
"*****,""4"",""5"",""5"",""4"",""7"",""resource related events and temporal events"",""14"",""3"",""5"",""5"",""4"",""4"",""5"",""4"",""4"",""5"",""nice tool and too simple than AWS CLI and Cloudify for configuration"",""add simulation evn to test the whole model before its real deployment"""
"*****,""4"",""5"",""5"",""4"",""7"",""Q-event, TS-event, TP-event"",""14"",""3"",""4"",""5"",""5"",""4"",""4"",""5"",""4"",""5"",""the choice of providers and tools  are taken by users"",""simulation environment, "
"add the option that the system can choose automatically the providers based on optimisation algorithms """
"****,""4"",""5"",""5"",""4"",""7"",""Q-event, TS-event, TP-event"",""14"",""3"",""5"",""5"",""4"",""4"",""5"",""4"",""5"",""5"",""the end state still not clear in the state machine"",""just IMP it would be better to use YML file instead of JSON  as it is quite clear and easy to read for users"""
"*****,""3"",""4"",""1"",""4"",""7"",""Q-event, TP-event, TS-event"",""14"",""3"",""4"",""4"",""4"",""4"",""4"",""4"",""5"",""4"",""nice and simple tool compraing to AWS cli"",""suggest recommendation to users about best providers and good thresholds when evaluating metric in the Q-event"""
"*****,""3"",""4"",""2"",""4"",""7"",""Q-event/TP-event, TS-event"",""14"",""3"",""5"",""4"",""4"",""3"",""5"",""4"",""5"",""5"","""",""very simple and nice tool"""
"*****,""3"",""4"",""1"",""3"",""7"",""Q-event, TP-event, TS-event"",""14"",""3"",""5"",""5"",""4"",""5"",""4"",""4"",""5"",""5"","""",""state machine provided with simple concepts making the def of elasticity very easy"""
"*****,""3"",""4"",""1"",""4"",""7"",""Q-event, TS-event, TP-event"",""14"",""3"",""4"",""4"",""4"",""3"",""5"",""5"",""5"",""4"","""","""""
"*****,""3"",""4"",""2"",""4"",""7"",""Q-event, TS-Event, TP-event"",""14"",""3"",""4"",""4"",""4"",""3"",""4"",""4"",""5"",""5"","""",""cRDMcore is a powerful and very easy tool for cloud services elasticity. The underlying model is simple to understand and is suitable for every kind of auto scaling policies. AWS gives a way to manage auto"
"scaling issues in cloud services, but with a lot of settings"""
"******,""3"",""2"",""2"",""3"",""7"",""Q-event, TP-event,TS-event"",""14"",""3"",""4"",""4"",""4"",""5"",""4"",""4"",""5"",""5"","""",""suitable and easy for non-professional users and can be applied in the context of E-learning applications"""
"******,""3"",""2"",""2"",""3"",""7"",""Q-event, TP-event,TS-event"",""14"",""3"",""4"",""4"",""5"",""4"",""5"",""5"",""5"",""5"","""",""This tool is easy to use and its diagrams are easily"
"understandable so we found this tool very suitable for non-professional users"""
"******,""3"",""2"",""2"",""3"",""7"",""Q-event, TP-event,TS-event"",""14"",""3"",""4"",""4"",""4"",""4"",""5"",""3"",""4"",""5"","""",""easy to use and its editors are simple"""
